1/21 11:52:25.754  SPELL_CAST_FAILED,0x0300000005D70675,"Billionaire",0x511,0x0000000000000000,nil,0x80000000,35395,"Crusader Strike",0x1,"Not yet recovered"
1/21 11:52:26.059  SPELL_ENERGIZE,0x0300000005D70675,"Billionaire",0x511,0x0300000005D70675,"Billionaire",0x511,20167,"Seal of Insight",0x2,3513,0
1/21 11:52:26.059  SPELL_DAMAGE,0x0300000005D70675,"Billionaire",0x511,0xF140C79CA3000002,"GUGU",0x11148,54158,"Judgement",0x2,1317,-1,2,0,0,0,nil,nil,nil
1/21 11:52:26.059  SPELL_AURA_BROKEN_SPELL,0x030000000219D13A,"Bumblebeex-Frostmourne",0x548,0x0300000005D9C981,"Guccimaim",0x512,19503,"Scatter Shot",0x1,54158,"Judgement",2,DEBUFF
1/21 11:52:26.059  SPELL_AURA_REMOVED,0x0300000001B3C240,"Exrobinhood-Frostmourne",0x548,0x0300000005D9C981,"Guccimaim",0x512,19503,"Scatter Shot",0x1,DEBUFF
1/21 11:52:26.059  SPELL_DAMAGE,0x030000000219D13A,"Bumblebeex-Frostmourne",0x548,0x0300000005D9C981,"Guccimaim",0x512,54158,"Judgement",0x2,1447,-1,2,0,0,0,nil,nil,nil
1/21 11:52:26.092  SPELL_CAST_FAILED,0x0300000005D70675,"Billionaire",0x511,0x0000000000000000,nil,0x80000000,35395,"Crusader Strike",0x1,"Not yet recovered"
1/21 11:52:26.501  SWING_DAMAGE,0xF140C79CA3000002,"GUGU",0x11148,0x0300000005D70675,"Billionaire",0x511,384,-1,1,0,0,0,nil,nil,nil
1/21 11:52:26.501  SPELL_HEAL,0x0300000005D70675,"Billionaire",0x511,0x0300000005D70675,"Billionaire",0x511,87189,"Enlightened Judgements",0x2,4462,3254,0,nil
1/21 11:52:26.501  SPELL_AURA_REFRESH,0x0300000005D70675,"Billionaire",0x511,0x0300000005D70675,"Billionaire",0x511,53657,"Judgements of the Pure",0x2,BUFF
1/21 11:52:26.501  SPELL_HEAL,0x030000000219D13A,"Bumblebeex-Frostmourne",0x548,0x030000000219D13A,"Bumblebeex-Frostmourne",0x548,87189,"Enlightened Judgements",0x2,4671,4671,0,nil
1/21 11:52:26.501  SPELL_AURA_APPLIED,0x030000000219D13A,"Bumblebeex-Frostmourne",0x548,0x030000000219D13A,"Bumblebeex-Frostmourne",0x548,53656,"Judgements of the Pure",0x2,BUFF
1/21 11:52:26.501  SPELL_CAST_SUCCESS,0x0300000005D70675,"Billionaire",0x511,0x0000000000000000,nil,0x80000000,89023,"Blessed Life",0x1
1/21 11:52:26.687  SPELL_CAST_FAILED,0x0300000005D70675,"Billionaire",0x511,0x0000000000000000,nil,0x80000000,20271,"Judgement",0x2,"Not yet recovered"
1/21 11:52:26.734  SPELL_PERIODIC_ENERGIZE,0xF140C79CA3000002,"GUGU",0x11148,0xF140C79CA3000002,"GUGU",0x11148,54131,"Bloodthirsty",0x1,0,4
1/21 11:52:26.734  SPELL_PERIODIC_HEAL,0xF140C79CA3000002,"GUGU",0x11148,0xF140C79CA3000002,"GUGU",0x11148,54131,"Bloodthirsty",0x1,880,0,0,nil
1/21 11:52:26.878  SPELL_CAST_FAILED,0x0300000005D70675,"Billionaire",0x511,0x0000000000000000,nil,0x80000000,20271,"Judgement",0x2,"Not yet recovered"
1/21 11:52:26.957  SPELL_AURA_APPLIED_DOSE,0xF140C79CA3000002,"GUGU",0x11148,0xF140C79CA3000002,"GUGU",0x11148,53403,"Rabid Power",0x1,BUFF,3
1/21 11:52:26.957  SPELL_AURA_REFRESH,0xF140C79CA3000002,"GUGU",0x11148,0xF140C79CA3000002,"GUGU",0x11148,54131,"Bloodthirsty",0x1,BUFF
1/21 11:52:26.957  SPELL_ENERGIZE,0x0300000005D70675,"Billionaire",0x511,0x0300000005D70675,"Billionaire",0x511,89023,"Blessed Life",0x1,1,9
1/21 11:52:26.957  SPELL_AURA_APPLIED,0x0300000001B3C240,"Exrobinhood-Frostmourne",0x548,0x0300000005D9C981,"Guccimaim",0x512,1513,"Scare Beast",0x8,DEBUFF
1/21 11:52:27.262  SPELL_CAST_SUCCESS,0xF140C79CA3000002,"GUGU",0x11148,0x0300000005D70675,"Billionaire",0x511,49966,"Smack",0x1
1/21 11:52:27.262  SPELL_DAMAGE,0xF140C79CA3000002,"GUGU",0x11148,0x0300000005D70675,"Billionaire",0x511,49966,"Smack",0x1,590,-1,1,0,0,0,nil,nil,nil
1/21 11:52:27.437  SPELL_CAST_FAILED,0x0300000005D70675,"Billionaire",0x511,0x0000000000000000,nil,0x80000000,20271,"Judgement",0x2,"Not yet recovered"
1/21 11:52:27.498  SPELL_AURA_APPLIED_DOSE,0x0300000005D70675,"Billionaire",0x511,0x0300000005D70675,"Billionaire",0x511,20053,"Conviction",0x1,BUFF,2
